"","NAICS2","FIPS/13001/Appling","FIPS/13003/Atkinson","FIPS/13005/Bacon","FIPS/13007/Baker","FIPS/13009/Baldwin","FIPS/13011/Banks","FIPS/13013/Barrow","FIPS/13015/Bartow","FIPS/13017/Ben Hill","FIPS/13019/Berrien","FIPS/13021/Bibb","FIPS/13023/Bleckley","FIPS/13025/Brantley","FIPS/13027/Brooks","FIPS/13029/Bryan","FIPS/13031/Bulloch","FIPS/13033/Burke","FIPS/13035/Butts","FIPS/13037/Calhoun","FIPS/13039/Camden","FIPS/13043/Candler","FIPS/13045/Carroll","FIPS/13047/Catoosa","FIPS/13049/Charlton","FIPS/13051/Chatham","FIPS/13053/Chattahoochee","FIPS/13055/Chattooga","FIPS/13057/Cherokee","FIPS/13059/Clarke","FIPS/13061/Clay","FIPS/13063/Clayton","FIPS/13065/Clinch","FIPS/13067/Cobb","FIPS/13069/Coffee","FIPS/13071/Colquitt","FIPS/13073/Columbia","FIPS/13075/Cook","FIPS/13077/Coweta","FIPS/13079/Crawford","FIPS/13081/Crisp","FIPS/13083/Dade","FIPS/13085/Dawson","FIPS/13087/Decatur","FIPS/13089/De Kalb","FIPS/13091/Dodge","FIPS/13093/Dooly","FIPS/13095/Dougherty","FIPS/13097/Douglas","FIPS/13099/Early","FIPS/13101/Echols","FIPS/13103/Effingham","FIPS/13105/Elbert","FIPS/13107/Emanuel","FIPS/13109/Evans","FIPS/13111/Fannin","FIPS/13113/Fayette","FIPS/13115/Floyd","FIPS/13117/Forsyth","FIPS/13119/Franklin","FIPS/13121/Fulton","FIPS/13123/Gilmer","FIPS/13125/Glascock","FIPS/13127/Glynn","FIPS/13129/Gordon","FIPS/13131/Grady","FIPS/13133/Greene","FIPS/13135/Gwinnett","FIPS/13137/Habersham","FIPS/13139/Hall","FIPS/13141/Hancock","FIPS/13143/Haralson","FIPS/13145/Harris","FIPS/13147/Hart","FIPS/13149/Heard","FIPS/13151/Henry","FIPS/13153/Houston","FIPS/13155/Irwin","FIPS/13157/Jackson","FIPS/13159/Jasper","FIPS/13161/Jeff Davis","FIPS/13163/Jefferson","FIPS/13165/Jenkins","FIPS/13167/Johnson","FIPS/13169/Jones","FIPS/13171/Lamar","FIPS/13173/Lanier","FIPS/13175/Laurens","FIPS/13177/Lee","FIPS/13179/Liberty","FIPS/13181/Lincoln","FIPS/13183/Long","FIPS/13185/Lowndes","FIPS/13187/Lumpkin","FIPS/13189/McDuffie","FIPS/13191/McIntosh","FIPS/13193/Macon","FIPS/13195/Madison","FIPS/13197/Marion","FIPS/13199/Meriwether","FIPS/13201/Miller","FIPS/13205/Mitchell","FIPS/13207/Monroe","FIPS/13209/Montgomery","FIPS/13211/Morgan","FIPS/13213/Murray","FIPS/13215/Muscogee","FIPS/13217/Newton","FIPS/13219/Oconee","FIPS/13221/Oglethorpe","FIPS/13223/Paulding","FIPS/13225/Peach","FIPS/13227/Pickens","FIPS/13229/Pierce","FIPS/13231/Pike","FIPS/13233/Polk","FIPS/13235/Pulaski","FIPS/13237/Putnam","FIPS/13239/Quitman","FIPS/13241/Rabun","FIPS/13243/Randolph","FIPS/13245/Richmond","FIPS/13247/Rockdale","FIPS/13249/Schley","FIPS/13251/Screven","FIPS/13253/Seminole","FIPS/13255/Spalding","FIPS/13257/Stephens","FIPS/13259/Stewart","FIPS/13261/Sumter","FIPS/13263/Talbot","FIPS/13265/Taliaferro","FIPS/13267/Tattnall","FIPS/13269/Taylor","FIPS/13271/Telfair","FIPS/13273/Terrell","FIPS/13275/Thomas","FIPS/13277/Tift","FIPS/13279/Toombs","FIPS/13281/Towns","FIPS/13283/Treutlen","FIPS/13285/Troup","FIPS/13287/Turner","FIPS/13289/Twiggs","FIPS/13291/Union","FIPS/13293/Upson","FIPS/13295/Walker","FIPS/13297/Walton","FIPS/13299/Ware","FIPS/13301/Warren","FIPS/13303/Washington","FIPS/13305/Wayne","FIPS/13307/Webster","FIPS/13309/Wheeler","FIPS/13311/White","FIPS/13313/Whitfield","FIPS/13315/Wilcox","FIPS/13317/Wilkes","FIPS/13319/Wilkinson","FIPS/13321/Worth"
"11","53",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"12","54",22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
"13","55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","56",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"15","61",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"16","62",32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
"17","71",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"18","72",36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
"19","81",24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
"20","92",16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
